Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
64,2025_PWDC2_20036_1,"[Providing Retaining wall, floor tiling of classroom, roofing front courtyard and Repainting of GLPS Cherukallayi, Mahe]",26-Sep-2025 05:45 PM,Public Works Department||CIRCLE II||PWD MAHE,09-Oct-2025 09:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYjxXqcFT6CMlyeirNrDSgw%3D%3D
65,2025_DHTE_20035_1,"[Contract of 4 Bus services to the students of dr.Ambedkar Govt. Law College, Kalapet, Puducehrry.]",27-Sep-2025 09:00 AM,Directorate of Higher and Technical Education||Dr.Ambedkar Govt. Law College - DHTE,18-Oct-2025 04:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SEI%2FZyzIsxv2NDqQVNAwr5Q%3D%3D
66,2025_PWDC1_20041_1,"[Improvements to the Road and drain at Anthoniyar Kovil street and Subramaniya siva street in Govindasalai, Puducherry]",27-Sep-2025 04:00 PM,Public Works Department||CIRCLE I||Buildings and Roads(CENTRAL),07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9H1cb7H2Y2jgT8CCjnNedQ%3D%3D
67,2025_DLA_19969_1,"[Improvements to the Community hall and Construction of anganwadi building in P.S.Palayam colony in Mannadipet Constituency, Puducherry.]",26-Sep-2025 01:05 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9Kk8nGa%2FcKTdg2aq5VaK%2FA%3D%3D
68,2025_PWDC2_19995_1,"[Urgent repairs to the Dormitorys Kitchen, Dining and Verandah in Ground floor for Rajiv Gandhi School of Sports at Indira Gandhi Sports Complex, Uppalam, Puducherry.]",27-Sep-2025 01:20 PM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6Puw0hGPEgtzeBfYS8AP%2FQ%3D%3D
69,2025_PWDC2_20018_1,"[Providing Aluminum sheet roofing over the South block and laying flooring tiles in the balance portion of South and West block of PM SHRI I.K. Kumaran Govt. Higher Secondary School, Pandakkal]",26-Sep-2025 05:45 PM,Public Works Department||CIRCLE II||PWD MAHE,09-Oct-2025 09:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SwRcYsybf9w5KHeJl1DG2KQ%3D%3D
70,2025_PWDC2_20017_1,[Replacing the AC sheet roofing with galvalume sheet and Repainting of the Office building of  Fisheries Department  at Mahe],26-Sep-2025 05:50 PM,Public Works Department||CIRCLE II||PWD MAHE,09-Oct-2025 09:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SokPYQFHFl3gK62qzKPqR2g%3D%3D
71,2025_DLA_19972_1,[Providing side drains to the internal streets of Sugumar nagar and Vetri Vinayagar nagar(frist cross and second cross) at Kalitheerthalkuppam.],26-Sep-2025 01:10 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeOSJE88%2FD48qtRo1zxfI4Q%3D%3D
72,2025_EDHD_19083_1,"[Design, Manufacture, Factory testing, Supply, erection, testing at site and Commissioning of  each one 110/22KV, 25MVA Power Transformers with allied equipments, civil works for bay extension  works at Kurumbapet and  Marapalam 110/22KV SS.]",10-Jul-2025 06:00 PM,Electricity Department||Head of the Department||EHV Planning and Feeder Construction,06-Oct-2025 04:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SY%2Fyhd61Ye0BzZikTiOhTVw%3D%3D
73,2025_PWDC2_20048_1,"[Dismantling and reconstruction of damaged culverts at 6 Nos. of road crosses in Pappammalkoil drain          in Kurichikuppam of Rajbhavan Constituency, Puducherry - (III Call).]",29-Sep-2025 01:00 PM,Public Works Department||CIRCLE II||IRRIGATION,09-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGZSZBbwppbcR7lConm1mQw%3D%3D
74,2025_PWDC2_20003_1,"[Sub Work  Reconstruction of Sump in Thiruvalluvar Government Girls Higher Secondary School, Laporte Street, Orleanpet Constituency, Puducherry.]",26-Sep-2025 04:15 PM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3PqaKzcdSaz7FmdDSgo0Tw%3D%3D
75,2025_EDHD_19814_1,[Supply of 20 Sets of 22KV 800A Double Contact A.B. Switch],11-Sep-2025 06:00 PM,Electricity Department||Head of the Department||MRT and Materials Management Cell,06-Oct-2025 11:00 AM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SU43gohWCp6xZCAPKlWumnQ%3D%3D
76,2025_PWDC2_19997_1,"[Renovation and rehabilitation work to the school building and construction of new toilet blocks at Government Primary School, Ariyankuppampet, Ariyankuppam Commune, Puducherry.]",27-Sep-2025 01:50 PM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SiLp4C0kbglTTOZrOimTLjg%3D%3D
77,2025_MH_20052_1,[Purchase of Fiber Reinforced Plastic Cadavar Storage Tanks],29-Sep-2025 10:30 AM,Department of Health and Family Welfare Services||Indira Gandhi Medical College and Research Institute Puducherry,11-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SjlGUH1di4ZJSFeltbYwgOw%3D%3D
