Serial Number,Title,Organisation,Closing Date,Link
28,[Supply of transformer oil pump for generator transformers for NTPC Simhadri],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7bC9%2FczC6xt0HpAHW%2FI8YQ%3D%3D
29,[Printing of Formats Registers for CISF NCPS Dadri],"NTPC Limited||DBF Headquarter||National Capital Power Station, Dadri",12-Sep-2025 05:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=Sv3hZr%2Fa4zYO86V5HKa3Ygg%3D%3D
30,[Repair of TD EOP Motor NTPC Gadarwara],NTPC Limited||Western Region - II Headquarter||Gadarwara Super Thermal Power Project,11-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SDgW8ioBKy7JVHps7ors32g%3D%3D
31,[External Painting works of different type quarters of MTPS Township Kanti],NTPC Limited||Corporate Centre||USSC||CPG-1,23-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SyhmBvSeaATZCmN4vYU5Uzw%3D%3D
32,"[Supply and Installation Handpumps in various location of District Auraiya,Etawah,Kanpur Dehat under CSR 2025-26.]",NTPC Limited||Corporate Centre||USSC||CPG-2,17-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S7FxRSC39kuasey3dxObaxQ%3D%3D
33,[Procurement of Atlas Copco Make Compressor Model ZA6 spares at NTPC],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SSo93NtSOQk8r6h0Z8zD1QA%3D%3D
34,[Service contract for repairing of WT and amp SAC hydraulic cylinders - 6 Nos-],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SXo5gXJCUBFF5eA0SJ0bvlA%3D%3D
35,[Procurement of Hydraulic Cylinder and Spares for CW System at NTPC BARH],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SsmfODBd3AriG1U9X2RK8Gg%3D%3D
36,[Replacement of roofing sheets of construction store sheds at NSTPS],NTPC Limited||Corporate Centre||USSC||CPG-2,18-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=StZjQvXOUnYmZf7zB7w3XsQ%3D%3D
37,[Providing and fixing acid alkali resistance tiles and associated works in DM Plant and ETP area etc. at Stage-2 of NTPC Barauni TPS on risk andcost of agency  MISHRA ELECTRICALS (VC-1041233).],NTPC Limited||Corporate Centre||USSC||CPG-2,18-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SJCkT1ez0NoIuhl7Rh3TznQ%3D%3D
