Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
345,2025_NHAI_248090_1,[Supervision Consultancy services A JNPT Package 1 of NH 348  B JNPT Package 2 Gavanphata Interchange C JNPT Package 3 And D JNPT Package 4 in the State of Maharashtra],10-Sep-2025 09:00 AM,National Highways Authority of India||RO-Mumbai - NHAI,08-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sdlr5u6m1j18ZZ74xsC3aGQ%3D%3D
346,2025_NHAI_242680_2,"[Development, Operation and Maintenance of Wayside amenities  3 O-M Sites in Rajasthan and 1 O-M Site in Madhya Pradesh NH11A/60.963/RHS/Samel/Dausa]",25-Jul-2025 06:55 PM,National Highways Authority of India||National Highways Logistics Management Limited (HQ Delhi),15-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFqQJc1QrlA3AE%2B4IHz7puA%3D%3D
347,2025_NHAI_249803_1,[Carrying out Detailed Project Report (DPR) study for Development of Ropeway Projects in the State of Madhya Pradesh - Chhattisgarh],20-Sep-2025 06:55 PM,National Highways Authority of India||National Highways Logistics Management Limited (HQ Delhi),21-Oct-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SIDwmVRnKafzzAr4SZ4YccQ%3D%3D
348,2025_NHAI_239021_1,[Const. of 4lane elevated corridor including approaches from Old Pune Naka to Boramani Naka on NH65 in Solapur City on HAM in Maharashtra (Km 0.050 to Km 9.710)],20-Jun-2025 03:30 PM,National Highways Authority of India||Head Office - NHAI||Technical - NHAI,30-Oct-2025 11:00 AM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S0YdGkp2rS6eHXXIKMIitxA%3D%3D
349,2025_MCD_250562_1,[Civil Work],26-Sep-2025 06:00 PM,Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD,03-Oct-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3MVp9SAtEBTM2DWwDcLfdA%3D%3D
350,2024_KRIDE_216260_1,[Power Supply and Traction Works],26-Nov-2024 09:00 AM,Rail Infrastructure Development Company (Karnataka) Limited - K-RIDE,28-Nov-2025 03:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=St928wvPIgOc7lfhu76k88w%3D%3D
351,2025_NFL_247216_1,[NFN/2025-26/ELECT/ARC/01/2024],02-Sep-2025 02:00 PM,National Fertilizers Limited||NFL Unit-Nangal||Electrical Deptt,01-Oct-2025 02:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8TQhQdHWP4SRkMlzZ2qxlQ%3D%3D
352,2025_NSIL_246155_1,[Assembly and Testing of SPLF Separation System Components],22-Aug-2025 06:00 PM,NewSpace India Limited||NewSpace India Limited - Bangalore||Purchase - NSIL,09-Oct-2025 02:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S2%2F2o613OZlkEV1DdUwTKAw%3D%3D
353,2025_HITE_238301_3,[SITC of Digital Slide Scanning System],13-Jun-2025 06:00 PM,HITES,16-Oct-2025 01:00 PM,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STTAN%2FtMgjsho%2B%2FU5GtH%2BTA%3D%3D
354,2025_VPT_247850_1,[Hiring of one Highly Manoeuvrable lunch],09-Sep-2025 10:00 AM,Visakhapatnam Port Trust||Marine Department - VPT||Establishment - VPT,30-Sep-2025 03:00 PM,https://etender.up.nic.in/eprocure/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1bdAdruUOhii5RKjXB3mwA%3D%3D
