Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
25,2025_AGRIL_118183_7,"[Modernization and Renovation of Toilets of FIAC Building, Khalikote]",20-Sep-2025 11:00 AM,Directorate of Agriculture and Food Production||SE Agriculture South Zone||Executive Engineer(Agril) Ganjam,08-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sc2Pzj5fkTKHVL%2BypqvH%2F8g%3D%3D
26,2025_ORULB_117921_6,[Improvement of road at Erdala sahi],16-Sep-2025 10:00 AM,Municipal Bodies||Parlakhemundi Municipal Council,06-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCSHJBnx6gnMcNzSFcON2fg%3D%3D
27,2025_CERWI_118165_2,[Construction of Suitable Room Hall in Narla Tahasil Office Building for Implementation of V.C System in the District of Kalahandi for the year 2025-26],17-Sep-2025 05:30 PM,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,10-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXRWueZTqdAzWwiUcXsq5VA%3D%3D
28,2025_CERWI_118716_4,[CONSTRUCTION OF BOUNDARY WALL AND GATE OF GOVT. AYURVEDIC DISPENSARY BUILDING CAMPUS AT SINGHARI IN THE DISTRICT OF SONEPUR FOR THE YEAR 2024-25.],26-Sep-2025 03:00 PM,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Futp6dU80Bw56u1Y6amjrA%3D%3D
29,2025_CERWI_118162_1,[Construction of R.I. Office Cum Residence Building at Pastikudi in the District of Kalahandi for the year 2024-25],17-Sep-2025 05:00 PM,CE RW I||RWCIRCLE-BHAWANIPATNA||RW Division Kesinga,10-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBORHoB5ir2SOGWC3xLgvCw%3D%3D
30,2025_CERWI_118174_1,[Construction of Staff Quarter at Sub Register at Lakhanpur for the year 2024-25.],18-Sep-2025 06:00 PM,CE RW I||RW-CIRCLE-SUNDARGARH,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8tpJ3SKAB47vyv6XPOTVdQ%3D%3D
31,2025_OMC_118088_1,[Diamond core drilling and allied work for South Kaliapani and Sukrangi Mining lease under JK road Region of OMC],15-Sep-2025 05:30 PM,Orissa Mining Corporation,16-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Shllag%2B5ahULULrYHXogSSA%3D%3D
32,2025_OSCSC_118781_1,[Selection and Appointment of Transport Contractor for Transportation of Paddy/CMR for KMS 2025-26 for Kolnara Block in Rayagada District.],26-Sep-2025 06:00 PM,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Raygada,16-Oct-2025 05:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SqtwD0d%2FzHzI%2F80b9q8UAOg%3D%3D
33,2025_CEBBU_118494_1,[Flood Works],24-Sep-2025 11:00 AM,"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE Sambalpur Irrigation Division Sambalpur",08-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SLQo6%2B9hS1CHXiIxVhl4AtQ%3D%3D
34,2025_OSAMB_118300_10,[Construction of GCI Cover Shed at Gajabahal Paddy Procurement Center],22-Sep-2025 10:00 AM,Odisha State Agricultural Marketing Board||RMC Gunupur,13-Oct-2025 05:00 PM,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SsXZ5bnqQatpAaIBumYFTZg%3D%3D
