PageNumber,Error
153,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=153"" already visited"
139,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=139"" already visited"
192,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=192"" already visited"
116,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=116"" already visited"
81,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=81"" already visited"
172,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=172"" already visited"
216,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=216"" already visited"
129,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=129"" already visited"
146,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=146"" already visited"
163,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=163"" already visited"
220,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=220"" already visited"
17,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=17"" already visited"
175,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=175"" already visited"
181,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=181"" already visited"
11,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=11"" already visited"
207,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=207"" already visited"
198,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=198"" already visited"
211,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=211"" already visited"
26,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=26"" already visited"
235,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=235"" already visited"
84,"visit failed: ""https://wbtenders.gov.in/nicgep/app?component=$TablePages.linkPage&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=AFrontEndAdvancedSearchResult%2Ctable&sp=84"" already visited"
