Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
173,2025_NNR_87192_1,[Rainwater Harvesting Potential in Rishikesh],16-Sep-2025 04:00 PM,Municipal Commissioner Nagar Nigam Rishikesh,30-Sep-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SXu74j0abwUGLkjoWZnMDSg%3D%3D
174,2025_UREDA_86799_2,[01/UREDA/PAURI/DP/SSL/25-26],24-Sep-2025 10:00 AM,Director (UREDA)||Chief Project Officer||SPO Pauri,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXr4TB2PIl7hHCvieI330ag%3D%3D
175,2025_pwd_86870_3,"[Construction of 60 m span prestressed RCC bridge on Pathri Roh River at km 3 on the Road from Jwalapur to Shivalik Nagar via Idgah, Subhashnagar PAC in BHEL Ranipur assembly constituency of Haridwar district Under Kumbh Mela-2027. (Job 3)]",04-Sep-2025 10:00 AM,PWD||SE PWD Circle Haridwar,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sx6rAu60NDKY%2FM5I0Ur%2Bmsw%3D%3D
176,2025_UKJS_87498_4,[OPERATION AND MAINTENANCE OF WATER SUPPLY SCHEME RIGADDI UNDER KOTDWAR DIVISION.],27-Sep-2025 05:00 PM,CGM (Drinking Water) Jal Sansthan||GM (Garhwal)||SE Pauri Garhwal||Accountant Kotdwar,13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2LTVI%2BQPM1o3l%2Bmf%2Fb%2B6YA%3D%3D
177,2025_UPCL5_87430_1,[Work of Replacement of Bare Conductor by Covered Conductor of 11 kV Telpura Feeder under EDD Bhagwanpur under EDC Roorkee],23-Sep-2025 02:00 PM,MD - UPCL||CE (Dist) Haridwar||SE (D) Roorkee,08-Oct-2025 10:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6y2YaJc8AlmAq%2Bf0wnCmIw%3D%3D
178,2025_UJVN_87053_1,[Procuement of stationary items for various office of UJVN Ltd at Dehradun],10-Sep-2025 06:00 PM,"MD- UJVN||Director (Operation)||GM (BV)||EE (M), MBS",01-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsWh%2BFveqG7XNnNu80NAhSQ%3D%3D
179,2025_DMT_87636_1,[Land Allotment],27-Sep-2025 05:00 PM,District Magistrate Tehri Garhwal,15-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlwHltkUEi1xVCxwR8%2BTpVw%3D%3D
180,2025_MDPEY_87135_1,"[REMAINING WORKS OF I.S.B.T., TANAKPUR, DISTRICT CHAMPAWAT]",12-Sep-2025 05:00 PM,MD (Drinking Water) Peyjal Nigam GoUK||CGM (CW) - Dehradun||GM - Haldwani,06-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SDAOEk5l126ZT6LuEuJEAig%3D%3D
181,2025_DGIPR_87374_1,[E-tender for publicizing the important information/message of the State Government through News Letters/Bulk Whatsapp Messages/News PDF/Audio/Video Message through Whatsapp in the general public of Uttarakhand],25-Sep-2025 05:00 PM,DG - Information and Public Relation Department Dehradun,29-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Squ6OWq0%2FnLcVK%2FJfWYKorg%3D%3D
182,2025_UPCL5_87595_1,[For Replacement of Rabbit/Dog Conductor],26-Sep-2025 12:00 PM,MD - UPCL||CE (Dist) Haridwar||SE (D) Haridwar,10-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SIIFNOgvUSz7LrImqImoaRQ%3D%3D
183,2025_RES_87509_1,[Honorable Chief Ministers Announcement No. 3752024 A multipurpose building will be constructed in Pitna village panchayat of Jageshwar assembly constituency of Almora district],24-Sep-2025 05:30 PM,RES - Chief Engineer||SE - Nainital||EE - Almora,09-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoZJWh1VchyQxLk2wJu2Nmw%3D%3D
184,2025_UJVN_87038_1,[08/2025-26/EE(C)/ Pashulok Barrage.],10-Sep-2025 05:00 PM,MD- UJVN||Director (Operation)||GM (Civil)||DGM (Civil),01-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuYMQkw%2BDzYEsCeiAMmWguQ%3D%3D
185,2025_UKJS_87062_1,[DESIGN BUILD and 05 YEARS OPERATION and MAINTENANCE OF KAULAGARH WATER SUPPLY SCHEME DISTRICT DEHRADUN],10-Sep-2025 03:30 PM,CGM (Drinking Water) Jal Sansthan||GM (Head Office)||SE (Urban) Dehradun||AE Dehradun (North),01-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0YIzP8ZE3wt%2FCRWxLXLwAA%3D%3D
186,2025_RES_87474_1,[Government Senior Secondary School Devikhal Kotha ke Atirikat Kakchha Kakchhon ka Nirman Karya],24-Sep-2025 03:00 PM,RES - Chief Engineer||SE - Pauri||EE - Kotdwar,09-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBho%2FUoXStp71wtb3zsw2tA%3D%3D
187,2025_UPCL5_87432_1,[Work of Replacement of Bare Conductor by Covered Conductor of 11 kV Bhalswagaj Feeder under EDD Bhagwanpur under EDC Roorkee],23-Sep-2025 02:00 PM,MD - UPCL||CE (Dist) Haridwar||SE (D) Roorkee,08-Oct-2025 10:30 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaB4IFhK8cLF8MA8OC7CsgA%3D%3D
188,2025_pwd_87485_1,"[Reconstruction work of washout Portion of Sagarsain Barshila Bagad Motor Road in Km 1,    Ch. 0.100 to 0.155 under badh ewam bhushkhalan head in Financial Year 2025 -26. (In anticipation of Approval)]",24-Sep-2025 06:00 PM,PWD||12th Circle Pauri,08-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SE4OPZlWwa08AAnUmXn71rg%3D%3D
189,2025_GBPUA_86798_1,[DEMOLITION AND CLEARANCEOF NON RESIDENTIAL BUILDING etc AT HALDI GBPUAT  FALLING ],01-Sep-2025 05:30 PM,VC-G.B. Pant University of Agriculture and Technology||Director Works and Plants||Dy. Director (General),04-Oct-2025 05:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SfHi%2FyGwLay2AB1ywee%2FgjQ%3D%3D
190,2025_pwd_87478_1,[Renewal work by PC from Km 1 to 3 of Anu Chilhad (Upper) Motor road in Chakrata Constituency of Dehradun District under Annual Repair Year 2025-26],24-Sep-2025 03:00 PM,PWD||9th Circle Dehradun,08-Oct-2025 03:00 PM,https://uktenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S9PSviK2prbeSsSybpPzbCQ%3D%3D
191,2025_RES_87637_1,"[Construction of two classrooms, repair work of 02 classrooms in Government Higher Secondary School Dayartoli Champawat.]",29-Sep-2025 03:00 PM,RES - Chief Engineer||SE - Nainital||EE - Nainital,13-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SouetH34wbTc8ArIhE97%2BTA%3D%3D
192,2025_UPCL3_87664_1,[E.T.No.-EDC(USN)32/2025-26],29-Sep-2025 11:05 AM,MD - UPCL||CE (Dist) Rudrapur||AAO Rudrapur,13-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SEOyWloNvMVrkryO2PIuexg%3D%3D
