Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
13,2025_HSL_98181_1,[Procurement of Ultrasonic antifouling system for Sindhu Sankalp],22-Sep-2025 05:30 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=So6syGyw%2FLJzwWAbmNf5CFQ%3D%3D
14,2025_HSL_98164_1,[Digitalization of Drawings and Manuals of Plant Maintenance],19-Sep-2025 05:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sdbmr2Htd5KbmPni9zlGvhw%3D%3D
15,2025_HSL_98170_2,[Overhauling of Emergency generator for ORV Sagar kanya],26-Sep-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S90GKCXkgswWPIJbjPx4bYw%3D%3D
16,2025_HSL_98193_1,"[Provision of Project Management Consultancy (PMC) services for Refurbishment/ Upgradation of Outfitting Jetty, Crane Track, and Associated Services at HSL.]",23-Sep-2025 06:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,08-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh0LCsPK1UhDxg33H3rP6FA%3D%3D
17,2025_HSL_98129_1,[Hiring of Mobile Cranes of various capacities on Rate contract basis for a period of 2 years],15-Sep-2025 05:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SxVcnrApFz1aFt7djcPZwCQ%3D%3D
18,2025_HSL_98054_1,"[Analysis of Lub Oil, Coolant, Hydraulic oil and Portable water on INS JAMUNA ]",02-Sep-2025 04:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sh04tX%2FQwQWPBhsjOdvgoSg%3D%3D
19,2025_HSL_98165_1,[Energy audit of power distribution networks],19-Sep-2025 05:00 PM,Hindustan Shipyard Limited||SHIP BUILDING OUTSOURCING,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sva0bql9tBayfMkYUDy5j0g%3D%3D
20,2025_HSL_98082_1,[Procurement of Electrical items of PM AC Panel on ORV Sagar Kanya ],06-Sep-2025 12:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,03-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SpyjtmsYXvI4UXL1v5lBBBw%3D%3D
21,2025_HSL_98195_1,[Procurement of Sanitary fittings for INS Jamuna],24-Sep-2025 12:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,04-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S2S470D5xGjqWxFGjFAtJ9A%3D%3D
22,2025_HSL_98169_1,"[Modification works to Board room Annexe, Pantry, Staff Office Room and Attached Toilet and provision of VIP Visitor rooms at 2nd floor of Admin Building.]",20-Sep-2025 10:00 AM,Hindustan Shipyard Limited||CIVIL ENGINEERING,03-Oct-2025 03:00 PM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SJqJC40BgePRYQPZvN8vwMA%3D%3D
23,2025_HSL_98078_1,"[Procurement of Pilot lamps, Contactors etc for ORV Sagar Kanya]",05-Sep-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,06-Oct-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sv4qjC1dUl2EH%2BYMMUeC8NA%3D%3D
24,2025_HSL_97753_1,[Procurement ogf Bulb flat],07-Jul-2025 05:00 PM,Hindustan Shipyard Limited||DRY DOCK and SHIP REPAIRS,30-Sep-2025 11:00 AM,https://eprocurehsl.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SgVlUBEPYAdKY6kI9R6XxZA%3D%3D
25,2025_HSL_98173_1,[PROCUREMENT OF PROCUREMENT OF 415V AC DISTRIBUTION BOARDSFOR 05XFSS VC 11200-204],20-Sep-2025 03:00 PM,Hindustan Shipyard Limited||MAIN PURCHASE,04-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Smcfe8qTntHcfjZlL8nrxmQ%3D%3D
