Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
11,2025_DLG_150698_1,1,"[DOOR TO DOOR COLLECTION, SEGREGATION, TRANSPORTATION AND PROCESSING OF SOLID WASTE IN CITY MC KURALI]",25-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||ADC (UD) - SAS Nagar||Municipal Council - Kurali,17-Oct-2025 11:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sl3mUZqZsjDDMsvltTiZ2UQ%3D%3D
12,2025_DLG_150678_1,1,"[Const. of various streets of Ward no. 1, 2, 3, 4, 5, 6, 7, 8, 10 ,11 ,12 ,13 ,16,19,22,23,24,25,34,43,44 and Maan Farm road of M.C Batala]",25-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||Municipal Corporation - Batala,27-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SEnHPc0cVyAxoJkKbBZkTaA%3D%3D
13,2025_WR_150640_1,1,[	Estimate for Brick Lining of water course at outlet RD 17955 /L of Bhangala Minor],24-Sep-2025 06:00 PM,Department of Water Resources||Department of Water Resources||Canal - Shah Nahar Div - Talwara,08-Oct-2025 12:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SRhKJh9HVhHNuV3IQ3MMFDw%3D%3D
14,2025_WR_150647_1,1,[Estimate for construction of watercourse in brick masonary of 9776 /R of Bhangala Minor],24-Sep-2025 06:00 PM,Department of Water Resources||Department of Water Resources||Canal - Shah Nahar Div - Talwara,08-Oct-2025 12:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SmGo8Ks%2BrHlZcEtRTvezNYA%3D%3D
15,2025_WR_150652_1,1,[Estimate for brick Lining of watercourse at outlet RD 34050-R of Singhowal Disty.],24-Sep-2025 06:00 PM,Department of Water Resources||Department of Water Resources||Canal - Shah Nahar Div - Talwara,08-Oct-2025 12:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SW9%2Fz1uik7mgDsX00HRP%2BRg%3D%3D
16,2025_DOF_148831_2,1,[Selection of Transaction Advisor for Development of Greenfield Medical College s in Punjab on Public Private Partnership PPP Mode],24-Sep-2025 02:00 PM,Department of Finance||Punjab Infrastructure Development Board,01-Oct-2025 03:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGryPAnG4HtCpZiOtc01H%2BA%3D%3D
17,2025_DLG_150551_1,1,"[Door to Door Collection, Segregation and maintenance of solid waste in all city Mehatpur (Integrated Solid waste Management, Door to Door Collection and Transportation, Processing and Disposal of Municipal Solid Waste) ]",24-Sep-2025 10:20 AM,Department of Local Government||Director - Local Government||ADC (UD) - Jalandhar||Nagar Panchayat - Mehatpur,16-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SPVK0%2BYe7rjM1Ju1LJFyyJA%3D%3D
18,2025_DLG_150544_1,1,"[integrated Solid waste Management -Door to Door Collection, segregation, Processing and disposal of Solid waste for City Raikot.]",24-Sep-2025 09:00 AM,Department of Local Government||Director - Local Government||Regional Deputy Director - Ludhiana||Municipal Council - Raikot,23-Oct-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sd4axDPdM1WP9wFcYZvcMYA%3D%3D
19,2025_DLG_150485_1,1,"[This is reference of Notice inviting Tender Notice No. 66 dated 19.09.2025, regarding Providing and Fixing of OCEMS, Electromagnetic Flow Meter 450 mm i/d and all other works contingent thereto at 4 MLD STP (SBR Technology) Talwandi Bhai, ]",23-Sep-2025 02:30 PM,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ferozpur,01-Oct-2025 12:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SoRf%2FN2TY6SUtMfurlZnGUg%3D%3D
20,2025_DLG_150480_1,1,"[Providing and Fixing of OCEMS, Electromagnetic Flow Meter 450 mm i/d and all other works contingent thereto at 4 MLD STP (SBR Technology) Talwandi Bhai, ]",23-Sep-2025 02:00 PM,Department of Local Government||Punjab Water Supply and Sewerage Board||Division - Ferozpur,01-Oct-2025 12:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SuCooUBwMqJhoS61zDuXz%2BQ%3D%3D
21,2025_WSS_150343_1,2,"[PROVIDING AND LAYING OF SN-8 UPVC PIPES OF 315 MM O/D DUE TO DAMAGED EXISTING SEWER LINE, CONSTRUCTION OF MANHOLES, CONSTRUCTION OF ROAD GULLIES FROM HOUSE NO 1644 TO 1664 TO MAIN LINE,  PHASE 7, S.A.S. NAGAR ]",23-Sep-2025 12:00 PM,"Water Supply and sanitation||Department of Water Supply and Sanitation||Division No. 1, Mohali",08-Oct-2025 11:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdcDBAa2853EIQ91JFPCTSg%3D%3D
22,2025_DLG_150264_8,2,[Supply and Installation for Sewer Jetting Pipe at MC Hoshiarpur],23-Sep-2025 11:00 AM,Department of Local Government||Director - Local Government||Municipal Corporation - Hoshiarpur,30-Sep-2025 05:00 PM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzwCNIposlMSP4qeHZlo0FQ%3D%3D
23,2025_WR_150433_3,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti ,dhorra , silts etc) manually from inner section of Daulatpur minor Rd 0-81680]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S6o1yNlF2H805MJIltOaRJw%3D%3D
24,2025_WR_150433_22,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti ,dhorra , silts etc) manually from inner section of Muradwala Minor RD 0- 31928]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SHM6im6xbLYkcqLRyi7eloA%3D%3D
25,2025_WR_150433_17,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti ,dhorra , silts etc) manually from inner section of Arniwaladistry 40630-93740]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7AHjl4iIZcAHK7QDSR7rxQ%3D%3D
26,2025_WR_150433_27,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti , dhorra , silts etc) manually from inner section of Lakhewali sub minor RD 0- 12100]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SzF7IrjylssRTAKjq6Nw9iQ%3D%3D
27,2025_WR_150433_30,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti ,dhorra , silts etc) manually from inner section of Nukeria sub minor RD 0- 24175]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S7rOUNPaFQE08ymZHCVzY5A%3D%3D
28,2025_WR_150433_24,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti ,dhorra , silts etc) manually from inner section of Ghillu Minor RD 0 - 20692]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sz7De%2BflcWKTKJXCcLuZPXg%3D%3D
29,2025_WR_150433_25,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti ,dhorra , silts etc) manually from inner section of Kamalwala Minor RD 0 -26285]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sc%2FRITji0ReIO%2F0TjYkrNxQ%3D%3D
30,2025_WR_150433_26,2,"[Estimate for clearance internal section( weed,jalla,deela , sarkanda , jungle butti ,dhorra , silts etc) manually from inner section of Pakkan sub minor RD 0- 18175]",23-Sep-2025 10:00 AM,Department of Water Resources||Department of Water Resources||Canal - Canal Div - Abohar,06-Oct-2025 10:00 AM,https://eproc.punjab.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFhtXltjjI9bx3A%2FkWgoBog%3D%3D
