S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
1,2025_PWD_271957_1,1,"Restoration of Roads under Sub Division-II of Division South Road-II, PWD, Delhi, during 2025-26. (SH_ Repairing of drain chambers damaged and caved  by thieves in green belt from NCERT Gate no. 3  towards IIT Flyover at  Sri Aurobindo Marg and rest",Public Works Department||CE/SE/M4-M41||EE/M411,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SAsxGqVJNzMC3wIc%2FgPvMRw%3D%3D
2,2025_PWD_271116_1,1,Maintenance and Payment of electrical consumption charges of street lighting on PWD North West Roads under NWED (SH Providing and Fixing of Storm water Centrifugal and Sewage Submersible pumpset at Rampura RUB),Public Works Department||CE/SE/M3-M35||EE/M353,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2eFndOOKE2SY4S%2FxLNRGNA%3D%3D
3,2025_PWD_270992_1,1,"Maintenance and Payment of electrical consumption charges of street lighting on PWD North West Roads under NWED (SH Over Head Cabling Laying on Street Light Poles at West Enclave to Mangolpuri Service Lane, Road No. 38 and Britannia Chowk Service L",Public Works Department||CE/SE/M3-M35||EE/M353,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpmiV0QfEO%2BZUG0rqLiULXw%3D%3D
4,2025_PWD_270988_1,1,"1) RMO of various EandM services at Nav kiran, Halfway/longstay home, sector03, Rohini, Delhi. 2) ARMO EandM Services of Home for mentally retarded,Old age persons, Asha Kiran Complex, Avantika, Rohini, Delhi.",Public Works Department||CE/SE/M3-M35||EE/M353,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SISGu%2B44ffxueTZ4naJWY5g%3D%3D
5,2025_PWD_270973_1,1,"Comprehensive Repair and maintenance to various roads under SRD Project Division-2, PWD during 2025-26 and 2026-27. (SH Hiring and Operating Diesel/tractor mounted PTO driven positive displacement Rotary Lobe Pumps set under Sub Division -1,2 and 3, ",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SwUf%2F2c6fSi%2FALvAMVcTiIw%3D%3D
6,2025_PWD_270886_1,1,SITC of Rotary Lobe Pumps and related equipments at Zakhira Underpass Pump House.,Public Works Department||CE/SE/M3-M35||EE/M353,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SWECXwxGCmUqFGflvMReaGw%3D%3D
7,2025_PWD_270873_1,1,"Construction of toilets and renovate the Jeewan Centre at Plot No-5, Jhandewalan, Paharganj, New Delhi dg-2025-26.)",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sq%2B3qV7VfR%2FIGPDEw%2B9gzvg%3D%3D
8,2025_PWD_270830_1,1,"Comprehensive maintenance of various roads under Sub Division-1 and 3, SRD Project Division-II, PWD, New Delhi during 2024-25 and 2025-26. (SH Providing services of Maintenance Van with required labour, T and P and Material, Providing and applying ro",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SV9UuymORR7v2HFgc%2FM36yA%3D%3D
9,2025_PWD_270822_1,1,"Comprehensive maintenance of various roads under Sub Division-2, SRD Project Division-II, PWD, New Delhi during 2024-25 and 2025-26. (SH Providing services of Maintenance Van with required labour, T and P and Material, Providing and applying road mar",Public Works Department||CE/SE/M2-M23||EE/M233,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SYMB%2B1eklZevuys9Q3MxTQw%3D%3D
10,2025_PWD_270116_1,1,"SITC of Rortary Lobe Pump sets and related equipments at Shalimar Bagh Drain at Road no. 320 under NWED, Delhi.",Public Works Department||CE/SE/M3-M35||EE/M353,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKT88uOgj4EN%2FMe%2BzgJSYqw%3D%3D
