S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
18,2024_BHEL_42006_1,1,"New Generator stator Core Building, Stator Pre-assembly at service Bay and Replacement of Stator and capital maintenance works of Unit II at OHPC Upper Kolab Hydro Electric Project, Bariniput, Odisha.",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SnGM7WP2IkKpeyivVyzX9oA%3D%3D
19,2024_BHEL_41856_1,1,Supply of EPDM O Rings,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SvO7qZvGhSR1iGNx2%2B%2BOOZg%3D%3D
20,2024_BHEL_41853_1,1,"Addl works of NFT on LPT last stage blades, LPT inner outer casing shifting, LPT rotor replacement, carrying out ELCID test and other works as per SOW at NLCIL New Neyveli TPS Unit No 1, 500MW",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SH7x7F3WObVq1ww1mFk%2B%2FoQ%3D%3D
21,2024_BHEL_41693_1,2,"Additional works of Existing coal nozzle modification works as per SOW at Hindalco HIL AAP, Lapanga 150MW",Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SySPQN7lTP56j5nTQt%2Frutg%3D%3D
22,2024_BHEL_41357_1,2,E46240042 OLTC,"Bharat Heavy Electricals Limited||TP-Jhansi||TRANSFORMER,WEX -  MOD.||Transformer Material Management||46 - Associated Equipments",AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SOzlHh8JhceFnmMuQig9SOA%3D%3D
23,2024_BHEL_41268_1,2,Additional works of Generator rotor compressor blade intermediate pieces looseness repair or replacement as per scope of works at Unit-6 NTPC-Talcher STPS- Unit 5 and 6 500MW,Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SSGb6wGmUUeDoSiRMeoHjSA%3D%3D
24,2024_BHEL_41026_1,2,Rectification of boiler vertical water wall fin cracks and other works in Boiler as per SOW at KPCL Bellary TPS for UNIT 3  1 X 700MW,Bharat Heavy Electricals Limited||PSSR||SAS - SUBCONTRACTING||SAS - SCT||SAS - SCT,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SW%2BgPNN9esiPY9EeuM9OlCg%3D%3D
1,2025_BHEL_44744_1,1,Development of Performance planning Budget System,Bharat Heavy Electricals Limited||Corporate Office - New Delhi,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=ScGqZsH9qt%2FJaKzYEGSOYIA%3D%3D
2,2025_BHEL_44126_1,1,Joystick for Genie Boom Lift,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SA3KpLpz7SQnHJ1eluKyPow%3D%3D
3,2024_BHEL_41666_1,1,H V DIODE SATCK ASSY.,"Bharat Heavy Electricals Limited||TP-Jhansi||TRANSFORMER,WEX -  MOD.||Transformer Material Management||46 - Associated Equipments",AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SrsuzJnw9gN8jBEu8Gr0yEw%3D%3D
1,2025_BHEL_48142_1,1,"Providing and fixing SS Handrail and FRP sheet at Transit Flats in BHEL Township, Sector- 17, Noida",Bharat Heavy Electricals Limited||Corporate Office - New Delhi,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SeHsUMcBkWfbG0Wai5DdCRg%3D%3D
2,2025_BHEL_47536_1,1,SERVICE CONTRACT FOR 500MW GENERATOR OVERHAULING AT VSTPS AS PER RATE CONTRACT UNIT  9 EXCITER WORKS,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2Fuw2MqLRTifvcevGgsGRPw%3D%3D
3,2025_BHEL_47311_1,1,OVERHAULING OF ONE UNIT UNIT 11 500 MW GENERATOR  ITS AUXILIARIES AT VSTPS NTPC VINDHYACHAL,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S8UTyKnHqXr7IgmBhofEWpQ%3D%3D
4,2025_BHEL_46691_1,1,Repair and maintenance of toilets in factory and others areas in HEEP,Bharat Heavy Electricals Limited||HEEP-Haridwar||WEX-WCS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SUIxUopPrvRA%2FsK08a6as5g%3D%3D
5,2025_BHEL_46582_1,1,"Renovation of Flat No. 680, 710 and 729 at AGVC, Siri Fort, New Delhi",Bharat Heavy Electricals Limited||Corporate Office - New Delhi,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SOMFdR1zK9YwuMfxS5drgfA%3D%3D
1,2025_BHEL_47133_1,1,Enquiry for SS Straight Enclosure,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S5lNeU8e5sB0QlLshp5dX3g%3D%3D
2,2025_BHEL_46813_1,1,Rectangular Mil Spec Connectors,Bharat Heavy Electricals Limited||CORPORATE R and D||MM,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S2rNUtpEtqAK6tOFFoyYkRQ%3D%3D
3,2025_BHEL_46712_1,1,Comprehensive Operation and Maintenance Contract for Facade Access System,Bharat Heavy Electricals Limited||Corporate Office - New Delhi,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sby0hLmY4WwPoQquCfDbb3A%3D%3D
4,2025_BHEL_46705_1,1,REPLACEMENT OF MAIN EXCITER ROTOR OF UNIT 1 WITH SPARE EXCITER ROTOR ALONGWITH COMPLETE ETC UPTO SYNCHRONIZATION OF UNIT 1 OF SURATGARH STPS 6 X 250 MW  RVUNL SURATGARH,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SgLlME%2FkZj3SVNYLV%2Fg2hgg%3D%3D
5,2025_BHEL_46494_1,1,MAJOR OVERHAUL OF HP IP  LP MODULES OF TURBINE INCLUDING ALL THE CONTROL VALVES AND MINOR OVERHAUL OF GENERATOR OF UNIT 2 125 MW NLCIL BTPS BARSINGSAR,Bharat Heavy Electricals Limited||PSNR||RSC Noida||SAS||SAS,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SGsCsRaV4fpvuVWm%2BcfOVVg%3D%3D
6,2025_BHEL_46125_1,1,Construction of 2 Nos of roof rain water harvesting pits in BHEL RnD lab complex,Bharat Heavy Electricals Limited||CORPORATE R and D||CWC,AOC,https://eprocurebhel.co.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SYCkzO3FWDMpV7mCd4QsnIA%3D%3D
7,2025_BHEL_45940_1,1,OVERHAULING OF 
