S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
15,2024_APWD_15782_1,1,"Repair and renovation of 02 Nos Ty-I Qtrs No. 1 and 2 and Ty-II Qtr. No. 1 and 2 inside APWD, Complex under SD-III, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SU7ZyLGK0ljIVH0%2BRREr2Ew%3D%3D
16,2024_APWD_15727_1,1,"Repair and renovation including re-roofing of Type-III Qtr No. 165 to 170 (T-S) at Satellite Township Colony under SD-III, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SYeK07%2BvBiMQWiUjoa9ANrw%3D%3D
17,2024_APWD_15212_1,1,"Construction of Urban Health and Wellness Centre under ABHIM at School Line (New Pahargaon) under CD-II, APWD, Prothrapur. (Civil work)",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Swwg4nBIxGZMqmUwKVmTq%2FA%3D%3D
18,2024_APWD_15211_1,1,"Construction of Urban Health and Wellness Centre under ABHIM at Chakkargaon under SD-IV, CD-II, APWD, Prothrapur. (Civil work)",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Stn6fFmqXbRyIBbFPiU%2F2Ug%3D%3D
19,2024_APWD_15142_1,1,"Face-lifting, repair and maintenance of Helicopter Terminal building and Administrative Hanger building alongwith construction of retaining wall cum compound wall along the road side adjacent to Inter Island Helicopter Terminal Port Blair. ",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2F8AqMl1c9epIpV0GvoGEHQ%3D%3D
20,2024_APWD_15131_1,1,"Repair and renovation of Type-II Qtrs from No 36 to 45 Block No.07 and 08 under SD-IV, CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SImQzLi%2B%2FPpOiiJFfSVW2Ug%3D%3D
21,2024_APWD_14899_1,2,"Construction of four Nos. drain in Austinabad village and Pahargaon village under Sub Division No-III, CD-II, APWD, Prothrapur.  Sub Work- Construction of 02 Nos Drain in Austinabad Village.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SOrBv0UQ6BpJXAodUxUyYkQ%3D%3D
22,2024_APWD_14880_1,2,"A-R and M-O Type-V Qtr NG Type-V-11 to Type V-22 at Chakkargaon under SD-IV, CD-II, APWD, Prothrapur. ",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SG2NGhndlFQerWb3CgqdGCQ%3D%3D
23,2024_APWD_14787_1,2,"Repair-Renovation of Anganwadi Centre at Barood Godown Birdline under CD-II, APWD, Prothrapur.",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SzIE0lHihCmii3HWzjL3QDw%3D%3D
24,2024_APWD_14747_1,2,"Contract for e-filling of TDS returns (for salaried and non-salaried) for the financial year 2024-25 in respect of Executive Engineer, Construction Division-II, APWD, Prothrapur. ",Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD-II - APWD - Prothrapur,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SCmoJDl7Hb4RUoO5Ricf2SA%3D%3D
25,2024_ANP_16979_1,2,Supply of Kayak and Canoe,Andaman and Nicobar Police||Superintendent of Police Marine Force,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPLkYWFlilczWd0p5IDXXdg%3D%3D
26,2024_ANP_16665_1,2,supply of Bull Nose,Andaman and Nicobar Police||Superintendent of Police Traffic,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SH4b9%2FJK2Coee8c3Gw2ThGQ%3D%3D
1,2025_RDPRI_17753_1,1,Supply of Water though Water Tanker,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Prothrapur/Panch Samiti Prothrapur||Sippighat Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S6jkPK1JPe0qejAyqFzCLww%3D%3D
2,2025_AIDSC_17646_1,1,Supply of Bio Bag Degradable with Biohazard Symbol,Andaman and Nicobar AIDS Control Society,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SBHNMykKzmcCjw6jfG5TogQ%3D%3D
1,2025_RDPRI_17170_1,1,Man Power Supply,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Paschimsagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SBY%2F1SaG9RwNHl%2FUibLmUhA%3D%3D
2,2025_ANP_17428_1,1,"Supply, Installation and Commissioning of Radar",Andaman and Nicobar Police||Superintendent of Police Marine Force,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SB53zCbDLfPUcjefma3g%2F%2BQ%3D%3D
3,2024_RDPRI_16689_1,1,AMC OF STREETLIGHTS,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Gandhinagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SPLDC6PyNJaeFY1ZRKZCIxA%3D%3D
4,2024_DFOMB_16645_1,1,Renovation of Type-II Twin set Quarter No.FD P TP 3 A B at Tugapur under Tugapur Range.,Department of Environment and Forests||Office of Divisional Forest Officer Mayabunder,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpUxwyKrQxp2X7NNCaj3SHw%3D%3D
1,2025_RDPRI_19645_1,1,"Providing Man Power unskilled under Jurisdiction of Gram Panchayat  Govind Nagar, Swaraj Dweep",DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Prothrapur/Panch Samiti Prothrapur||Govindnagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SfuDKvCVxSyY5WaFmx4xC0Q%3D%3D
2,2025_DSW_19420_1,1,"Supply of Supplementary Nutrition Programme SNP Articles -Groundnut Seeds, Masoor Dal, Moong Dal, Soyabean, Onion for all 119 Anganwadi Centers under ICDS Project Diglipur",Directorate Of Social Welfare||Child Development Project Office - Diglipur Project,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SjfA1YzoUJdO2yay79Hy3Hw%3D%3D
3,2025_ANP_18974_1,1,Supply of spares for DM equipments ,Andaman and Nicobar Police||Superintendent of Police Fire,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SvMMvPSFaDoJuo1l1N2X14w%3D%3D
4,2025_AIDSC_19307_1,1,Supply of Stationary Items,Andaman and Nicobar AIDS Control Society,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S5UiMuzn0Z0hFk09osRjmgA%3D%3D
1,2025_RDPRI_17118_1,1,Supply of Refreshment items,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Diglipur Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SpBKYGknOOdgK5yDXWe1tHw%3D%3D
2,2024_RDPRI_16901_1,1,SWM Vehicle Tender,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Paschimsagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SlHUvu2PWAzHSO0QnWDEaww%3D%3D
3,2024_RDPRI_16856_1,1,"AMC of Street light under Gram Panchayat, Govind Nagar, Campbell Bay.",DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Campbell Bay/Panch Samiti C.Bay||Govindnagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=StcrmmvzHH1MR2tgFGjRXqg%3D%3D
1,2025_ANP_17132_1,1,Supply of Spares for 40HP Suzuki OBMs,Andaman and Nicobar Police||Superintendent of Police Marine Force,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SKN3kzrPH9%2BM9JKz1iepCxA%3D%3D
2,2024_DCFWP_16822_1,1,CC DRAIN,Department of Environment and Forests||Office of DCF (Working Plan),AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S5zBy0UeZUPBwMhUjAJQKJA%3D%3D
3,2024_DCFWP_16817_1,1,RETAINING WALL,Department of Environment and Forests||Office of DCF (Working Plan),AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SsSaCzMka9WCCAYgwXRfJKg%3D%3D
4,2024_DCFWP_16791_1,1,FOOTPATH WITH KEYWALL,Department of Environment and Forests||Office of DCF (Working Plan),AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sqa%2FNOuyb0SVwuuexMUtdew%3D%3D
5,2024_DCFWP_16784_1,1,PARKING SHED,Department of Environment and Forests||Office of DCF (Working Plan),AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SLJ%2BDWfCf2oh7u88vQB81jw%3D%3D
1,2025_RDPRI_19378_1,1,Supply of hiring of vehicle ( Pickup-Van 2 CBM),DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Ferrargunj/Panch Samiti Ferrargunj||Wandoor Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SX8hykzPWotijRQStn0e83g%3D%3D
1,2024_RDPRI_16826_1,1,Deployment of Engine dinghy for Garbge transport,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Prothrapur/Panch Samiti Prothrapur||Govindnagar Gram Panchayat,AOC,https://eprocure.andamannicobar.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SC6XPtmh6flYo7VHSlODoTw%3D%3D
