S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
6,2025_NTPC_97454_1,1,"MISCELLANOUS CIVIL WORKS AT DPS, NTPC VINDHYACHAL.",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SrR%2FSGHf96bXW3hFkvwhTVQ%3D%3D
7,2025_NTPC_97437_1,1,Operation and Maintenance of AYUSH wellness centre at TTS at NTPC Kayamkulam,NTPC Limited||Southern Region Headquarter||Rajiv Gandhi Combined Cycle Power Project,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sz3apRsMQF%2BVp7D1D5e4%2BzA%3D%3D
8,2025_NTPC_97335_1,1,Housekeeping and Sanitation Works at NTPC Lara 2025-26,NTPC Limited||Western Region - II Headquarter||Lara Super Thermal Power Project,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SU8VCVA7LwBJJDpEF3IGoRg%3D%3D
9,2025_NTPC_96810_1,1,PROVIDING AND FIXING GREEN NET ALONG STAGE-II BOUNDARY FOR DUST CONTROLAT NTPC LARA.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SDIw0CBPKff%2Bge4aoqdYxNg%3D%3D
10,2025_NTPC_96808_1,1,"ALUMINIUM FABRICATION, FALSE CELLING AND GLASS WORK AT NTPC BONGAIGAON",NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SxtDowXz6guEjG6FM81cGVQ%3D%3D
11,2025_NTPC_96556_1,1,Construction of a Scrap Yard adjacent to open cum steel yard at NTPCNorthKaranpura.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SB1%2BrSMgHqnrn7evVOekIpw%3D%3D
12,2025_NTPC_96537_1,1,Proposal for shifting of material from Siemens store.,NTPC Limited||Western Region - II Headquarter||Gadarwara Super Thermal Power Project,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SIqPt1dRrfBBWyO7417hhKQ%3D%3D
13,2025_NTPC_96492_1,1,Deployment of DGR sponsored Security Gurd for NTPC Talaipalli CoalMining Project- Non Mining Area on Limited Tender basis,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SamA%2B0Hh2dn7QEKxoz5kUnw%3D%3D
14,2025_NTPC_96482_1,1,Deployment of DGR Sponsored Security Guards in Mining area - Limited tender,NTPC Limited||Coal Mining,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2Bn%2BAoU85N5IOYTCKFwjl6Q%3D%3D
15,2025_NTPC_96426_1,1,Construction of WBM approach ramp for Ash evacuation from Bottom Ashlagoon -II at NTPC Gadarwara.,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S1CbITrZ2uYxlnAeFigf3wg%3D%3D
16,2025_NTPC_95730_1,1,Vibration measurement and analysis of machinery and bearing conditionmonitoring parameters and speed at MTP Deptt of NTPC UNCHAHAR,NTPC Limited||Corporate Centre||USSC||CPG-2,AOC,https://eprocurentpc.nic.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SbEY5Xwpl8EOqCuhCELBZlg%3D%3D
