S.No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
5177,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[249-Gram Sabha Dema Mai Para Basayagpur Road Se Sai Kutti Tak Kharanja Nirman Karya .],[1331/ZPBBK DATE 02-09-2025][2025_UPPRD_1071285_77],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SID3HfrQGv096Dtz%2F5paUqw%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
4893,08-Sep-2025 10:00 AM,29-Sep-2025 12:00 PM,29-Sep-2025 02:00 PM,"[Vibrated rubber molded C.C. interlocking tiles road and drain construction work in ward no. 04, Mohd. Shankar Vihar, from Gopal General Store to Arun Pandey house in municipal area Khoda-Makanpur.]",[392][2025_DOLBU_1037414_85],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SrXw5rhBFCdkTC641P8w9fg%3D%3D,Directorate of Local Bodies UP||Nagar Palika Parishad Khoda Makanpur Ghaziabad
5178,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[235-Gram Chandwal Mai Mukhya Marg Se Shri Agro Cold Store Tak Sampark Marg CC Karya],[1331/ZPBBK DATE 02-09-2025][2025_UPPRD_1071285_74],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SImXDbwrgXq%2Bvo9KLq%2Bef8A%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
4894,08-Sep-2025 10:00 AM,22-Sep-2025 01:00 PM,22-Sep-2025 01:30 PM,[Brick soling work of service road from km 6.700 to km 9.300 of left bank of Gaunriya minor in Deoria district],[05/SE/2025-26][2025_UPIDC_1059372_8],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaUlsXX%2Bl9a0GOgynt52N6A%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur"
5179,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[246-Dariyabad Badosarai  Marg Se Mohhadeinpur Talab Hote Hue Mohaddeinpur Kharnje Tak Kharanja Nirman Karya.],[1331/ZPBBK DATE 02-09-2025][2025_UPPRD_1071285_76],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sy4%2FZXbgalIFZwfyLyu1eCw%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
5180,08-Sep-2025 09:00 AM,27-Sep-2025 11:00 AM,27-Sep-2025 05:00 PM,[228-Safdarganj Railway Crossing Se Safdarganj-Basa Marg Tak Sampark Marg Par Patch Marrammat Va CC Road Karya.],[1331/ZPBBK DATE 02-09-2025][2025_UPPRD_1071285_73],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmfeOJPq0VtEXY49Go54m%2Fw%3D%3D,Panchayati Raj Department||Zila Panchayat Barabanki
4895,08-Sep-2025 10:00 AM,29-Sep-2025 10:00 AM,29-Sep-2025 11:00 AM,[Gram Atarar me nahar se samshan ghat tak ziro se lepan karya],[914/zpm/nivida/2025-26 Date-06-09-2025][2025_UPPRD_1071937_3],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S0A1JAJ3axlKqXP%2FiFUERvw%3D%3D,Panchayati Raj Department||Zila Panchayat Mahoba
4896,08-Sep-2025 10:00 AM,29-Sep-2025 05:00 PM,30-Sep-2025 10:00 AM,[construction and Fixing of slab on nala thana puliya toword barah patthar.],[219/nppb/2025-26][2025_DOLBU_1072106_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sc1yS%2FSvF0N%2BqOUxBPgilyg%3D%3D,Directorate of Local Bodies UP||Nagar Palika Parishad Bisalpur Pilibheet
4897,08-Sep-2025 10:00 AM,29-Sep-2025 10:00 AM,29-Sep-2025 11:00 AM,[Gram Charkhari Gopalpura sampark marg se Rosanpura sampark marg ka anurakshan karya],[914/zpm/nivida/2025-26 Date-06-09-2025][2025_UPPRD_1071937_4],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCAqvKBWa4uqcbSfxcnz39Q%3D%3D,Panchayati Raj Department||Zila Panchayat Mahoba
4898,08-Sep-2025 10:00 AM,22-Sep-2025 01:00 PM,22-Sep-2025 01:30 PM,[Brick soling work on the left bank between km 39.450 to km 42.250 in district Maharajganj and between km 53.500 to km 57.300 in district Kushinagarof lower Narayani branch],[07/SE/2025-26][2025_UPIDC_1072114_2],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8CHECf%2Bhr1U2slRlzr6bLQ%3D%3D,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur"
