Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
25,2025_PWD_47153_1,"[Construction of Ratanpur Balak School to Shiwa Ghat Path under SOPD-G for the year 2025-26, Majuli LAC,under Majuli District Territorial Roads Division]",06-Sep-2025 02:00 PM,Public Works Roads Department,06-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SqD37AXRKqHB93o59zN0IQw%3D%3D
26,2025_GMC_47288_5,[Construction of Toilet under Ward No.54],05-Sep-2025 01:45 PM,Guwahati Municipal Corporation,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sk8PloQ2hcxo8MaZqNQGzNg%3D%3D
27,2025_PWD_47697_1,[MAINT/SOPD-G/2025-26/71],26-Sep-2025 02:00 PM,Public Works Roads Department,17-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sd9f84crBEpNAcU5lr3NSIA%3D%3D
28,2025_UDD_47726_1,[SMB-166/SWM/15THFC (TIED)/735],26-Sep-2025 05:00 PM,Urban Development Department||Directorate of Municipality Administration - UDD||Simaluguri Municipal Board,08-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoTCssFuhjCKQZoyb7Xu01w%3D%3D
29,2025_APDCL_47708_1,[Supply of 3 Nos 11kV VCB Panel],26-Sep-2025 05:00 PM,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,27-Oct-2025 12:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STz9Yp%2BAO3PnyOkfZ7Umqjw%3D%3D
30,2025_PWD_47416_2,"[Construction of GWC road from Dhumerghat Tarangapur Road to Sialkanda Kabarstan (from Ch. 0.00  Km to Ch. 800.00 m, Length 800.00 m)  under SOPD-G for the year 2025-26]",10-Sep-2025 11:00 AM,Public Works Roads Department,13-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SFdUJz%2FzX202jlwjTAx7tMg%3D%3D
31,2025_GMC_47287_16,[Construction of Community Hall under Ward No-44],06-Sep-2025 01:00 PM,Guwahati Municipal Corporation,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SBUtWZpr%2B4S5Rgcr67%2Bf7tg%3D%3D
32,2025_PWD_47663_3,[SNSTRD_SOPD-G_ET(A)_25_26_01 (1) Re-construction of Bagargool to Nischintapur(Ch-3637.00m to Ch-4900.00m)  (2) Construction of Road Starting from Sakaity beel to EandD dyke of Jagannathpur S.C Village (3) Construction of Road from Katigorah Harinagar],24-Sep-2025 02:00 PM,Public Works Roads Department,10-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYGk91t5442uvy88Y9reH1A%3D%3D
33,2025_PWD_47611_3,[MAINT/SOPD-G/2025-26/69],19-Sep-2025 06:00 PM,Public Works Roads Department,04-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDCwSSM%2F1cXRYrKSzlI8Lkw%3D%3D
34,2025_HFWD_46591_1,[Supply Installation and Commissioning Of Laundry System for AMCH in ASSAM.],16-Aug-2025 06:00 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD,06-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCM%2Fh4mDgD6CakS6kl2GEuA%3D%3D
35,2025_DMEAP_46593_1,[Consulting Services for Supply Configuration and Commissioning of Integrated Emergency Management System IEMS for Assam State under Assam Integrated River Basin Management Program AIRBMP],21-Aug-2025 11:30 AM,Assam State Disaster Management Authority- Externally Aided Project||Assam State Disaster Management Authority- World Bank Funded Tenders||Assam Integrated River Basin Management Programme,07-Oct-2025 03:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SLQwqlFCteAFfY2nOVMA9Eg%3D%3D
36,2025_GMC_47287_17,[Construction of Community Hall under Ward No-51],06-Sep-2025 01:00 PM,Guwahati Municipal Corporation,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SAPC9OrcOgDTu0mE4sn7ELg%3D%3D
37,2025_PHED_47388_1,[Utility Shifting of Namati  Nagaon  PWSS under Mangaldai (PHE) Division  under SOPD-G for the year 2025-26],10-Sep-2025 10:00 AM,Public Health Engineering Department||Chief Engineer PHE(P)-Assam-PHED||North Assam Zone-Tezpur-PHED||Tezpur Circle-Tezpur-PHED,14-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SeBH6q8q6i1%2BUSRgn6uUXSQ%3D%3D
38,2025_PWHE_47134_1,[onstruction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Hojai DTBD for i. Purana kaki High School ii. Borhola M.E.S. iii. Shri Madhav Dev Hindi M.E.],30-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,06-Oct-2025 04:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHJRR2laDyMbS4muyzlLBMA%3D%3D
39,2025_ID_47576_1,"[Installation of 7 Nos of MDTW Scheme under Samaguri LAC under SOPD- G for the year 2025-26 under Kaliabor Samaguri Division (I), Jakhalabandha) Package No. 1]",18-Sep-2025 06:00 PM,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,10-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SsLiH4jfFnqZ43s5mJ4ZHdQ%3D%3D
40,2025_PWD_47610_1,[ASOM_MALA_3.0_25_26_24 Improvement and Upgradation of Road from Kulhati to Bongsor from Ch. 0.000 km (Kulhati Chowk) to Ch. 5.600km (Bongsor Belortal) under Asom Mala 3.0 for the year 2025-26. Hajo Sualkuchi LAC],19-Sep-2025 04:00 PM,Public Works Roads Department,07-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SD26y4A7hvoAydRMEPZRRZg%3D%3D
41,2025_SCD_47668_4,[Gully Control Project at Panbari under SOPD-G 2025- 26],24-Sep-2025 02:00 PM,Soil Conservation Department||Director - SCD,14-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sxe0jnsGWxkw%2Bjsuq6NKdjw%3D%3D
42,2025_ICD_47285_1,[Instrumentation and Control Works],04-Sep-2025 03:25 PM,Industries and Commerce Department||DNP Limited,06-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGo3WFzHO7fif5NaVm2L7Vg%3D%3D
43,2025_DoIT_47725_1,[Provisioning of Power Upgrade at Existing Racks],26-Sep-2025 04:00 PM,Principal Secretary-Department of Information Technology||Assam Electronics Development Corporation Ltd-DoIT,10-Oct-2025 03:30 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S9uiHupiIvIST2BXGU7weLA%3D%3D
44,2025_HFWD_47230_1,[Group No 3],02-Sep-2025 06:30 PM,Health and Family Welfare Department||Assam Medical Services Corporation Limited,07-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4ziq0toZeJ0e%2Fn54GicMbg%3D%3D
45,2025_UDD_47453_1,"[Construction of Retaining Wall at  Garbage Transfer Station at Mela Ground (PART-II), Ward No. 01, Dhubri Town under 2nd Installment of 15th FC Tied Grant for the year 2022-23 during the year 2024-25]",12-Sep-2025 05:00 PM,Urban Development Department||Directorate of Municipality Administration - UDD||Dhubri Municipal Board,04-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFVHmIGn0qvo%2FR1qtM329mA%3D%3D
46,2024_DoWR_40315_3,[Construction of new embankment along Right bank River Shingla from Pallyshree to Arjun Nagar via Bhavanipur.],09-Sep-2025 06:55 PM,Department of Water Resources||Chief Engineer - DoWR,04-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SfQnVKuq82n2jQ0Ihlgh%2FFA%3D%3D
