Serial Number,Tender ID,Page Number,Title,E-Published Date,Organisation,Closing Date,Link
139,2025_PWHE_47072_1,13,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Lakhimpur DTBD for i. Goroimari Donyi Polo H.S. ii. Borchapori High School. iii. Swahid Goutam Mili H.S. iv. Rupahi H.S. v. Miri Jiyori H.S.],28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SG%2B5YVurGiAN8qmaBBCsfmg%3D%3D
140,2025_PWHE_47069_1,13,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Darrang District Territorial Building Division, Darrang for i. Nabajyoti ME School ii. Baruapara ME School iii. Adarsha Vidyalaya Pub Mangaldai]",28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SDHlfAMZIEpfzRd24ujkeSA%3D%3D
141,2025_PWHE_47067_1,14,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Morigaon District Territorial Building Division, Morigaon for i. Moniram Dewan ME]",28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SGlXTFhUl3A7PdORVT8ZHgQ%3D%3D
142,2025_PWHE_47066_1,14,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Morigaon District Territorial Building Division, Morigaon for i. Baidya Bori High School]",28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr7NS21Q8kPwVUXMVDHIBmA%3D%3D
143,2025_PWHE_47063_1,14,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Morigaon District Territorial Building Division, Morigaon for i. Killingparia HS ii. Sankardev High School iii. Ajuri Secondary School]",28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SozEKdw8iNXnpNDaco1QYXw%3D%3D
144,2025_PWHE_47061_1,14,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Silchar,Udharbond , Sonai and Dholai(SC)TBD for i. Bam Bidyapith High School ii. Itachora Tea Estate Model School iii. 62 No Dudhpatil MV SchoolMV]",28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SCz0r%2F0itx%2Fqfq6xGuKGlXQ%3D%3D
145,2025_PWHE_47076_1,14,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Lakhimpur DTBD for i. Dirgha Majgaon H.S. ii. Tarioni Borbil H.S. iii. 80 No. Solmari MES iv. Borkha Baghmara H.S.],28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S4pIbWZ8cE%2FyMLM7pV2rbpA%3D%3D
146,2025_PWHE_47075_1,14,[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Lakhimpur DTBD for i. Kapak Chapori H.S. ii. Lilabari H.S. iii. Pachim Subansiri Janajati H.S. iv. Kadam Mulagabharu H.S.],28-Aug-2025 04:30 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 04:30 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SjDwHcYjipqj49lj9Xd%2FJEw%3D%3D
147,2025_APDCL_47059_1,14,[Providing Cloud Services and related Managed Services for hosting APDCL Revenue Management System (ARMS) and Other IT Applications in Microsoft Azure Cloud.],28-Aug-2025 04:00 PM,Assam Power Distribution Company Ltd||CGM (IT and Projects),03-Oct-2025 12:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Stqe2%2B8N%2Fa93Bm5znMXdpaw%3D%3D
148,2025_PWHE_47058_1,14,"[Construction of Class Rooms under Assam School Education and Adolescent Well-Being Project (ASAP) under Nagaon-Batadrava, Raha(SC), Dhing, Rupohihat and Samaguri TBD for i. Sutargaon Public High School ii. Bagariguri P.N. Tamuly H.S. iii. Simoluguri ]",28-Aug-2025 02:00 PM,Public Works Health and Education Department-Externally Aided Project||Public Works Health and Education Department-WB,03-Oct-2025 02:00 PM,https://assamtenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=S8lb1T11JmDKW1x6Z3JvOKw%3D%3D
