Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
74,2025_SIDCG_24681_1,"[Rehab. of NME pipe sewers by trench. techn. using inline replace. of existing sewers of Vasco Sew. Sys. with HDPE pipe by pipe burst. method in Vasco Rail. St, Court Rd, Munc.  Rd, FL Gomes Rd, Saifulla ...Vasco Const. Retender]",20-Sep-2025 05:30 PM,SEWERAGE AND INFRASTRUCTURAL DEVELOPMENT CORPORATION OF GOA LTD||TECHNICAL,30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1xRdGcWuDv0nwXEKMMoctg%3D%3D
75,2025_WRD_24767_1,[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Sakadev and Kazur at Khushawati river / Carca river in Rivona village of Sanguem Taluka /Quepem taluka.],24-Sep-2025 06:00 PM,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV,08-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaSiH2GflznxMcnA0Fbwasg%3D%3D
76,2025_WRD_24769_1,[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Naquirimol and Usgalimol at Khushawati river /Carca river in Rivona village of Sanguem Taluka /Quepem taluka.],24-Sep-2025 06:00 PM,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV,08-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SI7Q5jfm6KYi3IPi%2BCnhXzA%3D%3D
77,2025_ED_24427_1,"[Tender for the Work of arranging Power supply of 3 phases 5 wire to LTD  Bharat Sanchar Nigam Ltd. for a load of 7.3 KW 1 at Vantem Bonkiwadi, in jurisdiction of S.O. Honda, under Sub div III, Valpoi. ]",05-Sep-2025 06:00 PM,"ELECTRICITY DEPARTMENT||CIRCLE - II (NORTH)||DIVISION -  V, Bicholim",29-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SmaNPDiSwbke09X7GK5IpCw%3D%3D
78,2025_PWD_24707_1,"[Providing Airconditioning for the various courts (A,B, and C) at  District Court Bicholim in Bicholim Taluka]",23-Sep-2025 06:00 PM,PUBLIC WORKS DEPARTMENT||CIRCLE - VII- Panaji||DIVISION - IV- Caranzalem,03-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3YQ7wBVB0Xv81FPfL4VdsQ%3D%3D
79,2025_PWD_24733_1,"[Operation and maintenance of 15MLD WTP Chandel in Pernem Taluka - Supply, Installation, Testing and Commissioning of auto transformers for Motor starter.]",23-Sep-2025 04:00 PM,"PUBLIC WORKS DEPARTMENT||CIRCLE - V-Panaji||DIVISION - XVII, Porvorim",30-Sep-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Skdn48kDy6hovr7v7nXP4eQ%3D%3D
80,2025_WRD_24778_1,[Supplying and fixing of fiber glass reinforced plastic (FRP) Needles without F.R.P. coated MS frames. Needles of standard size for OTB Vimleshwar at Khushawati river / Carca river in Rivona village of Sanguem Taluka /Quepem taluka],25-Sep-2025 01:00 PM,WATER RESOURCE DEPARTMENT||CIRCLE IV||DIVISION XIV,08-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShkGyMslSDqGyDngsZUU%2Fwg%3D%3D
81,2025_DHS_24739_1,"[Supply of medicines, surgical and chemicals]",23-Sep-2025 05:30 PM,Directorate Of Health Services||Medical Store Department Section,31-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNXfpITWhg0qRuKEvw4VRhw%3D%3D
82,2025_GIDCo_24676_1,[RFP for Selection of Service Provider for Solid Waste Management in Tuem Industrial Estate Cluster under Goa-IDC],20-Sep-2025 09:00 AM,Goa Industrial Development Corporation||Engineering Section,13-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScGlIsjwPw4AuAEQ5PtUp6g%3D%3D
83,2025_WRD_24450_1,[Repairs to existing Dev Tali at Gauthan Wada in Ward No.4 of V.P. Tamboxem-Mopa-Ugave in Pernem Taluka.],08-Sep-2025 05:30 PM,WATER RESOURCE DEPARTMENT||CIRCLE I||DIVISION - I,29-Sep-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzzKtybHYmoJAbKw0yH53CA%3D%3D
