Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
24,2025_LSGD_796651_1,[ Annual Plan-139/26-PANAKODU  ANGANWADI RENNOVATION DIVISION  1 IN KODUVALLY MUNICIPALITY],22-Sep-2025 06:00 PM,Local Self Government Department||Kozhikode||Municipal Engineers Office Kozhikkode||Municipal Engineer Koduvally  Municipality,29-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGsLP02A6aUVAe9RK5e%2BCdQ%3D%3D
25,2025_LSGD_801903_6,[ PATTIAM GP  KANNAVAM COMMUNITY HALL  PAINTING],26-Sep-2025 02:00 PM,Local Self Government Department||Kannur||Grama Panchayath Section Office Kannur||Office of the AE Patyam Grama Panchayath,06-Oct-2025 02:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQZQrLJS5xj57S%2F0Rr5ydhw%3D%3D
26,2025_LSGD_791651_2,[236/25-26 Kidangoor GP-Rennovation of Vadanappally Kocherippady road in ward - 3],22-Sep-2025 02:00 PM,Local Self Government Department||Kottayam||Grama Panchayath Section Office KTYM||Office of the AE Kidangoor Grama Panchayath,30-Sep-2025 02:00 PM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SdU40tTRkaSsjedUli%2F5vWA%3D%3D
27,2025_LSGD_800102_8,[Retender Ezhukone GP LRRP  Kottarakkara LAC  Sl  No 1793 Paruthumpara St Johns School Road],22-Sep-2025 10:00 AM,Local Self Government Department||Kollam||Grama Panchayath Section Office KLM||Office of the AE Ezhukone Grama Panchayath,30-Sep-2025 10:00 AM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=SU%2F89rkEKKhFjbYB5mVxuIg%3D%3D
28,2025_LSGD_803536_1,[193/25-26 Maintenance of Govt.LPS Pazhoor Ward 24 in Piravom Municipalitty],29-Sep-2025 09:05 AM,Local Self Government Department||Ernakulam||Municipal Engineers office Ernakulam||Municipal Engineer Piravom Municipality,08-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQhQRdPmhXtE4tAxftRuBmA%3D%3D
29,2025_LSGD_794188_2,[KEEZHMAD GP- PROJECT NO.343-2025-2026-Gas Godown Township Chavarakkad byeline road side protection],22-Sep-2025 01:15 PM,Local Self Government Department||Ernakulam||Grama Panchayath Section Office Ernakulam||Office of the AE Keezhmad Grama Panchayath,29-Sep-2025 05:15 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgUCwDsXWczprYZrro5cV8g%3D%3D
30,2025_DP_801029_4,[Ward12 water tank parisaram kaana nirmanam],23-Sep-2025 02:00 PM,Directorate of Panchayat||Deputy Director of Panchayat Thrissur||Perinjanam Grama Panchayath,03-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1IuaqZh7ZqJPmSCVLK3u3w%3D%3D
31,2025_LSGD_802657_6,[Annual Plan-Kannur DP Project No.138/2025- 2 6 - MAADAYI GVHSS  BOYS INFRASTRUCTURE DEVELOPMENT AND MAINTENANCE WORK MAADAYI GRAMA PANCHAYAT],26-Sep-2025 06:00 PM,Local Self Government Department||Kannur||District Panchayath Division Office Kannur||Office of the Exe Engineer Kannur District Pnchyth,03-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMnvlZJ9qKbZ4m2OAVEbV0g%3D%3D
32,2025_LSGD_803578_1,"[PATTOM WARD POTTAKUZHI JUNCTION WAITING SHED Outdoor  LED Video Wall, FM, CCTV, USB Charging Port INSTALLATION]",29-Sep-2025 09:00 AM,Local Self Government Department||Thiruvananthapuram||Corporation Engineers Office TVM||Thiruvananthapuram Corporation,07-Oct-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8e5aBA8D6yWYnbcdeu4YoA%3D%3D
33,2025_LSGD_801425_10,[Project No.1674/26-Interlocking of lanes on Paramban Vasanthan road at Div.55  at Pallikkunnu Zonal],24-Sep-2025 06:00 PM,Local Self Government Department||Kannur||Corporation Engineers Office||Corporation Engineer Kannur Corporation,30-Sep-2025 06:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Si8A9TnZ8czIEHvUOofCcsA%3D%3D
34,2025_LSGD_801145_18,[233/26 SOCITY PADI ROAD RENOVATION WARD 12],24-Sep-2025 01:00 PM,Local Self Government Department||Idukki||Grama Panchayath Section Office IDK||Office of the AE Kumily Grama Panchayath,04-Oct-2025 01:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SYSQ9Re9WQ06Z5wrqHAsI1Q%3D%3D
35,2025_LSGD_803750_1,[HIRING VEHICLE FOR LID AND EW SECTION ERATTAYAR GP 201  25 26],29-Sep-2025 01:00 PM,Local Self Government Department||Idukki||Grama Panchayath Section Office IDK||Office of the AE Erattayar Grama Panchayath,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ShNOiRWcI0xx8C73NctOCrQ%3D%3D
36,2025_KSEB_802625_1,[PPSLE/KVP in favour of the Secretary under Electrical Section Arakkunnam],29-Sep-2025 03:00 PM,Kerala State Electricity Board||Chief Engineer (Distribution Central)||Dpty Chief Engg Electrical Circle Ernakulam||EE Electrical Div Thripunithura||AEE Electrical Subdivision Chottanikkara,14-Oct-2025 05:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SgQBQLATv1%2Fx5g0Dd7FjOow%3D%3D
37,2025_LSGD_800193_20,[PR NO 78   Adimaparamb Kolothparamb road concreting Ward 18 in Kappur GP],27-Sep-2025 09:00 AM,Local Self Government Department||Palakkad||Grama Panchayath Section Office PKD||Office of the AE Kappoor Grama Panchayath,07-Oct-2025 11:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8Mg%2BEDXKU1S4UzFCpc0ldQ%3D%3D
